127.0.0.1 - - [24/Jun/2022:23:30:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:30:45 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:30:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:32:12 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:36:47 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:36:47 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:36:48 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:36:48 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:36:55 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:37:46 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:38:09 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:40:27 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:41:54 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:41:56 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:42:08 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:15 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:16 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:17 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:33 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:34 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:34 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:34 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:34 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:43:34 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:49:06 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:49:08 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:50:06 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:50:07 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:50:07 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:50:08 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:51:51 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:52:37 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:52:50 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:53:19 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:53:33 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:53:52 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [24/Jun/2022:23:58:58 +0530] "GET /DemoApp/Mainpage.html HTTP/1.1" 200 1849
